Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2002,"DET",161,55,106,4.939176990996017,533,161,74,11,4,33,32,21,1414,6215,1593,864,776,163,463,34,62,59,8,794
2003,"DET",162,43,119,5.317424072274408,613,162,65,3,0,27,44,19,1438.2,6376,1616,928,850,195,557,35,56,52,5,764
2020,"CLE",60,35,25,3.2910447413519637,241,60,37,1,0,20,35,7,536,2176,440,209,196,68,157,8,27,20,1,621
2020,"CIN",60,31,29,3.8928574701885457,228,60,26,3,2,9,25,7,504,2125,401,243,218,67,213,6,29,23,5,615
2020,"MIL",60,29,31,4.175258219425864,249,60,15,1,0,14,20,8,517.1,2186,446,264,240,67,189,1,35,21,2,614
2020,"NYM",60,26,34,5.014285673141922,257,60,17,0,0,11,28,7,513.1,2262,511,308,286,81,219,7,29,24,0,574
2020,"SDP",60,37,23,3.874439461809438,278,60,22,1,1,13,39,11,520.1,2160,456,241,224,70,170,2,22,19,3,565
2020,"TBR",60,40,20,3.5647506846489714,279,60,7,0,0,23,38,6,527.2,2212,475,229,209,70,168,4,29,30,1,552
2020,"BOS",60,24,36,5.582062883088685,292,60,9,0,0,14,37,11,524,2389,587,351,325,98,252,4,31,27,3,537
2020,"PIT",60,19,41,4.68421087899039,269,60,9,1,0,6,22,12,513,2227,451,298,267,80,249,3,37,28,2,536
2020,"MIN",60,36,24,3.576622194632748,262,60,16,0,0,17,49,9,513.1,2130,448,215,204,62,170,0,21,20,1,535
2020,"PHI",60,28,32,5.197184211791761,249,60,20,3,2,11,26,12,497,2197,550,311,287,80,185,12,28,14,3,532
2020,"NYY",60,33,27,4.350198964443783,234,60,18,2,1,14,15,9,500.2,2133,455,270,242,83,168,5,25,22,2,528
2020,"HOU",60,29,31,4.311069575659068,253,60,25,0,0,16,27,13,524,2239,472,275,251,70,217,7,29,25,4,526
2020,"ARI",60,25,35,4.844373203060999,260,60,13,0,0,13,19,9,518.1,2279,506,295,279,93,235,20,23,23,1,524
2020,"LAA",60,26,34,5.088197573123585,288,60,15,1,0,12,20,14,525.1,2256,492,321,297,82,199,8,21,25,1,523
2020,"CHW",60,35,25,3.808350882818708,284,60,19,1,1,13,29,9,527,2235,448,246,223,71,217,6,23,24,0,523
2020,"CHC",60,34,26,3.993569732661462,248,60,30,2,2,16,24,5,518.1,2153,451,240,230,74,182,7,17,22,4,523
2020,"TOR",60,32,28,4.631511802638328,286,60,11,0,0,17,31,11,524.2,2309,517,312,270,81,250,7,14,15,2,519
2020,"KCR",60,26,34,4.299806952903462,292,60,11,1,1,19,29,1,517,2233,500,272,247,76,211,7,29,28,3,517
