Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2007,"SFG",162,71,91,4.19766011456311,658,162,86,5,0,37,86,23,1453.2,6299,1442,720,678,133,593,41,47,49,4,1057
2003,"CHW",162,86,76,4.169812519253395,523,162,98,12,0,36,33,17,1431,6067,1364,715,663,162,518,30,53,39,4,1056
2010,"DET",162,81,81,4.287097629470959,578,162,80,6,1,32,60,13,1444.1,6198,1445,743,688,142,537,29,65,75,9,1056
2006,"CIN",162,80,82,4.532163365357833,638,162,79,9,3,36,49,24,1445.2,6319,1576,801,728,213,464,55,60,40,9,1053
2005,"BAL",162,74,88,4.564094269583779,636,162,74,2,0,38,70,19,1427.2,6242,1458,800,724,180,580,32,52,70,11,1052
2009,"MIN",163,87,76,4.496902405612605,643,163,79,4,1,48,82,16,1453,6274,1542,765,726,185,466,20,58,43,3,1052
2005,"CLE",162,93,69,3.6057801803429967,571,162,91,6,0,51,74,15,1452.2,6048,1363,642,582,157,413,20,41,26,4,1050
2007,"PHI",162,89,73,4.764344929494048,660,162,74,5,2,42,90,21,1458.1,6385,1555,821,772,198,558,62,72,46,3,1050
2006,"ATL",162,79,83,4.595745308464936,684,162,71,6,2,38,56,29,1441.1,6350,1529,805,736,183,572,69,55,39,2,1049
2009,"STL",162,91,71,3.660803856112077,643,162,88,8,4,43,72,14,1440.2,6087,1407,640,586,123,460,23,53,43,5,1049
2011,"WSN",161,80,81,3.5830270360206855,664,161,79,3,2,49,98,28,1449.1,6141,1403,643,577,129,477,43,52,49,6,1049
2010,"MIN",162,94,68,3.9527293632756884,627,162,86,9,3,40,75,18,1452.2,6106,1493,671,638,155,383,19,47,41,4,1048
2007,"CLE",162,96,66,4.054923284763125,557,162,94,9,4,49,71,14,1462.2,6206,1519,704,659,146,410,42,56,42,2,1047
2007,"DET",162,88,74,4.582909807158455,605,162,71,1,1,44,73,21,1447.1,6345,1498,797,737,174,566,41,68,75,8,1047
2015,"MIN",162,83,79,4.072764006187919,682,162,76,2,0,45,76,15,1443,6139,1506,700,653,163,413,34,41,54,2,1046
2011,"BAL",162,69,93,4.920969392055585,640,162,60,3,1,32,59,19,1446.2,6332,1568,860,791,210,535,42,45,32,4,1044
2009,"SEA",162,85,77,3.8721887335292293,572,162,83,4,2,49,82,28,1452.2,6159,1359,692,625,172,534,13,43,61,5,1043
2004,"STL",162,105,57,3.745701065358517,631,162,89,4,2,57,89,16,1453.2,6104,1378,659,605,169,440,24,67,42,4,1041
2008,"COL",162,74,88,4.767634101300271,647,162,68,3,1,36,59,23,1446,6338,1547,822,766,148,562,49,53,61,7,1041
2005,"CHW",162,99,63,3.610571018654078,574,162,95,9,4,54,79,19,1475.2,6176,1392,645,592,167,459,42,52,65,9,1040
2005,"ARI",162,77,85,4.869762408455659,620,162,84,6,1,45,64,17,1456.1,6402,1580,856,788,193,537,43,62,58,5,1038
2004,"SEA",162,63,99,4.761077113928639,576,162,70,7,2,28,42,21,1459.1,6389,1498,823,772,212,575,32,72,45,7,1036
2007,"OAK",162,76,86,4.301105603375667,608,162,85,4,1,36,66,25,1448,6247,1468,758,692,138,530,60,43,52,4,1036
2010,"KCR",162,67,95,4.974011011126951,603,162,71,7,1,44,64,21,1436.2,6333,1553,845,794,176,551,28,47,55,7,1035
2003,"MIL",162,68,94,5.026858947392607,622,162,66,5,1,44,59,27,1452,6459,1590,873,811,219,575,43,61,57,8,1034
2004,"OAK",162,91,71,4.171722953345037,576,162,84,10,3,35,71,28,1471.1,6313,1466,742,682,164,544,49,68,39,5,1034
2004,"MON",162,67,95,4.328954899046129,624,162,68,11,4,31,59,18,1447,6307,1477,769,696,191,582,78,79,43,2,1032
2009,"NYM",162,70,92,4.462132369234783,673,162,78,3,2,39,75,21,1426,6284,1452,757,707,158,616,60,55,41,10,1031
2011,"PIT",162,72,90,4.048757100141799,711,162,78,5,3,43,92,22,1449.1,6317,1513,712,652,152,535,65,62,60,6,1031
2014,"MIN",162,70,92,4.5783985338440765,653,162,66,2,0,38,68,20,1435,6212,1588,777,730,147,408,24,45,50,6,1031
2002,"TEX",162,72,90,5.163693054803435,649,162,68,4,2,33,65,33,1439.2,6446,1528,882,826,194,669,32,76,84,11,1030
